key,value,active
deposit,20,TRUE
cancellation_hours,48,TRUE
chair_rent_weekly,130,TRUE
consult_title,Free Hair Consultation,TRUE
consult_body,A free 15-minute texture and style assessment before any appointment - no obligation to book on the day.,TRUE
consult_cta,Book my consultation,TRUE
intro_text,"Your crown, in expert hands",TRUE
chat_greeting,"Hi! Tap a question below, or message us on WhatsApp and a real person will answer.",TRUE
stylist_note,"Already know who you want? Name them when you book. We will call to confirm they are free that day, so leave us a good time to reach you.",TRUE
hero_eyebrow,Central Milton Keynes,TRUE
hero_title,"Afro hair care, *done properly*.",TRUE
hero_text,"Braids, locs, weaves, natural hair and beauty — by stylists who have worked with textured hair their whole careers. Every appointment starts with a free consultation, so you leave with the style you actually asked for.",TRUE
reviews_provider,jotform,TRUE
reviews_id,01a00cf8ad38700088a2f53d63cc358f83ae,TRUE
