id,name,category,price,duration_mins,hair,patch_test,kids,description,feats,image_url,sort_order,active
knotless-box-braids,Knotless Box Braids,Braids,90,300,client,FALSE,FALSE,"Our most-booked style. Each braid starts with your own hair and the extension is fed in gradually, so there is no knot pulling at the root. Kinder on the hairline than traditional box braids and comfortable enough to sleep in from night one.","Small, medium or large
Waist length available
No tension at the root
Free parting consultation",,1,TRUE
box-braids,Box Braids,Braids,75,270,client,FALSE,FALSE,"The classic. Clean, square partings and a firm, long-lasting finish that holds its shape through the full life of the style.","Small, medium or large
Shoulder to waist length
Colour mixing welcome",,2,TRUE
cornrows,Cornrows & Straight Backs,Braids,35,90,,FALSE,TRUE,"Straight backs or a custom pattern, braided flat to the scalp using your own hair. A neat protective style in its own right, and the usual base underneath a wig or a sew-in.","Straight backs or patterned
Great under a wig
Suitable for children",,3,TRUE
feed-in-braids,Feed-in Braids (Ghana Weave),Braids,45,120,client,FALSE,FALSE,"Cornrows with extension hair fed in as the braid grows, so it starts fine at the hairline and thickens along its length. Lightweight, and very forgiving on fine edges.","2 to 12 braids
Lightweight on the scalp
Ponytail styling available",,4,TRUE
fulani-braids,Fulani Braids,Braids,85,240,client,FALSE,FALSE,"A traditional Fulani pattern — a centre cornrow, side braids and loose braided lengths — finished with beads or cuffs if you would like them.","Beads and cuffs included
Custom parting pattern
Photo references welcome",,5,TRUE
boho-braids,Boho Knotless Braids,Braids,110,330,client,FALSE,FALSE,"Knotless braids with loose, curly human-hair pieces left out along the length for a softer, undone finish. The longest appointment on our menu and worth every minute.","Curly human-hair pieces
Knotless root
Half or full boho",,6,TRUE
kids-braids,Children's Braids,Braids,40,120,,FALSE,TRUE,"A gentler, shorter appointment for under-12s. Cornrows, twists or small box braids with no heavy extensions and plenty of breaks.","Under 12s
Gentle tension
Beads included
Breaks built in",,7,TRUE
senegalese-twists,Senegalese Twists,Twists & Locs,80,240,client,FALSE,FALSE,"Smooth, rope-style two-strand twists with a high-shine finish. Lighter than braids of the same length and quicker to take down.","Small to jumbo
High-shine finish
Quick take-down",,8,TRUE
passion-twists,Passion Twists,Twists & Locs,85,240,client,FALSE,FALSE,"Soft, textured twists using water-wave hair for a bohemian, loosely curled look that keeps its bounce for weeks.","Water-wave texture
Soft, natural movement
Shoulder to waist",,9,TRUE
starter-locs,Starter Locs & Comb Coils,Twists & Locs,70,180,,FALSE,FALSE,"The beginning of your loc journey. We section, coil and set your natural hair, and talk you through what to expect over the first six months.","Full consultation included
Comb coils or two-strand start
Journey plan for the first year",,10,TRUE
loc-retwist,Loc Retwist & Style,Twists & Locs,45,120,,FALSE,FALSE,"Wash, root retwist and a style of your choice — barrel rolls, two-strand or pinned up. Recommended every 4–6 weeks.","Wash included
Root retwist
Style of your choice",,11,TRUE
